fips,percent_diff,state,county,votes_dem,votes_gop,total_votes
20087,32.25371120107962,KS,Jefferson County,2483,5112,8151
20089,69.04922454484154,KS,Jewell County,180,1204,1483
20091,2.7106054269301847,KS,Johnson County,126324,133907,279753
20093,62.18867924528302,KS,Kearny County,224,1048,1325
20095,58.3053946967388,KS,Kingman County,594,2507,3281
20097,72.72727272727273,KS,Kiowa County,111,855,1023
20099,37.858315443869174,KS,Labette County,2234,5232,7919
20101,69.79542719614922,KS,Lane County,104,684,831
20103,24.676506267691064,KS,Leavenworth County,10064,17387,29676
20105,65.88397790055248,KS,Lincoln County,214,1168,1448
20107,62.07057723767235,KS,Linn County,721,3377,4279
20109,72.3293768545994,KS,Logan County,149,1124,1348
20111,16.160068114091104,KS,Lyon County,4456,6354,11745
20115,50.33851784080512,KS,Marion County,1177,3928,5465
